01-compiler-boundary-invariant|1|Nadia Sorenson|active binary ownership;normalized requirements;internal formula authority;ZFC and layering|Does the design keep the active Gas City binary as the only compiler decision-maker rather than letting formulas select implementations?;Is requirement normalization implemented in one internal/formula path so callers never check raw contract strings?;Are formula-v2 constructs validated in internal/formula while CLI, orders, sling, API, and convergence consume typed results?|formula selects a compiler implementation at runtime;raw contract remains the canonical decision point;requirement checks duplicated across projections and drift
02-contract-migration-guardian|1|Elias Vega|contract alias;existing formulas;deprecation window;warning reach|Do existing contract = graph.v2 formulas continue compiling through the migration window, including externally pinned packs?;Are conflicts between contract and requires detected deterministically with a hard validation error?;What measurable trigger and owner decide when the alias can be removed?|legacy formulas fail abruptly;conflicting declarations are silently accepted;deprecation scheduled by calendar rather than remaining-usage evidence
03-parser-validation-matrix|1|Priya Zielinski|requirement grammar;parser edge cases;v2 construct enforcement;test matrix|Does v0 reject unsupported expressions such as exact 2, >=2.1, empty strings, and malformed ranges unless explicitly allowed?;Are empty [requires] tables, unknown sibling keys, and unknown contract values covered in validation tests?;Do v2-only constructs fail when the compiler requirement is omitted, regardless of caller path?|unknown ranges accepted silently;v2-only fields compile without a requirement;tests are hand-written per case and miss matrix combinations
04-operator-diagnostics-gate|1|Marta Hidalgo|daemon formula_v2 gate;actionable errors;API CLI order consistency;warning rate limiting|When daemon.formula_v2 is false, do CLI exits, API responses, dashboard cards, and order events share the same actionable remedy?;Does the gate apply to normalized compiler requirements regardless of whether the source used requires or contract?;Are deprecation warnings emitted at a controlled cadence that will not flood poll-driven dispatch or CI logs?|disabled-capability errors look like parse failures;dashboard and CLI give contradictory remedies;deprecation warnings fire on every resolve cycle
05-caller-integration-inventory|2|Yuki Patel|caller rewrite;bd and native path alignment;in-flight molecule behavior;dead-code policy|Has every caller of declaresGraphV2Contract across sling, orders, dispatch, API, dashboard, and convergence moved to one shared helper?;Do bd-backed and native compiler paths interpret normalized requirements identically during the migration?;If formula_v2 changes while a v2-required wisp or molecule is in flight, is the compile/retry behavior defined?|old and new requirement checks coexist indefinitely;bd fallback ignores requires;in-flight molecules enter an undefined state when the daemon flag changes
06-rollout-sequencing-reviewer|2|Lena Driscoll|implementation order;rollback granularity;built-in pack compatibility;migration-window definition|Can each migration step land with main working, or does the plan require a flag day across parser, callers, and docs?;If caller replacement regresses dispatch, can that step be reverted without also reverting docs and built-in formulas?;Are built-in and example formulas updated in a release where older binaries still parse them, or is version lockstep required?|built-in formulas switch syntax before compatibility support ships;rollback requires a multi-step revert;migration window lacks a measurable exit criterion
07-pack-versioning-ecosystem|2|Saoirse Raman|pack revision boundary;external author workflow;pinning and reproducibility;lint surface|Does the design clearly remove formula-level artifact semver while preserving pack semver, refs, and SHAs as the reproducibility boundary?;What happens for external packs pinned by SHA that copy current contract examples?;Is there a gc formula validate or lint path that tells pack authors exactly how to migrate stale snippets?|version becomes de facto formula semver;external pack authors only get a changelog note;layer winners cannot be tied back to pack revision
08-docs-dx-terminology|3|Avery Brooks|documentation consistency;TOML user experience;terminology clarity;open question closure|Do docs/reference/formula.md, tutorials, architecture docs, and examples all teach requires as the canonical surface in the same change?;Is there one glossary-level distinction between capability, implementation, contract, schema, and pack revision?;Should the open questions about exact values, warning transport, and legacy version be resolved before shipping?|docs continue recommending version or contract after behavior changes;requires is overloaded with another pack concept without explanation;open questions remain live at merge with user-visible consequences
09-convergence-subset-reviewer|3|Felix Berger|convergence validator;subsystem coupling;formula subset drift;daemon gate coverage|Does internal/convergence/formula.go preserve and validate [requires] instead of dropping it from the subset?;If a convergence formula needs v2 capability, does convergence respect daemon.formula_v2 through the same path as dispatch?;Does adding [requires] reduce top-level key sprawl or create another precedent for subsystem-specific formula subsets?|convergence silently drops [requires];v2 capability gate is bypassed by convergence;convergence and canonical formula validation continue to drift
10-future-capability-architect|3|Ibrahim Park|future capability ranges;reserved requirement axes;minimal abstraction;unknown key policy|Does the string grammar leave room for future compiler capability ranges without committing to full semver in v0?;Are omitted, >=1, and >=2 semantics defined tightly enough to avoid accidental divergence later?;Are unknown keys under [requires] rejected or reserved in a way that can support future axes such as tools, pack format, or runtime?|v0 grammar blocks future capability growth;omitted and >=1 diverge accidentally;unsupported requirement axes are silently ignored
